tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
tinh_trùng lỏng	cho cháu hỏi dạo này tinh_dịch của cháu có dấu_hiệu bị lỏng cháu search google về dấu_hiệu tinh_trùng loãng thì có vẻ cũng k phải tinh_trùng vẫn đục không có mùi hôi hay gì cả nhưng nó bị mất đi độ sệt cháu xuất lên tay thì tinh_dịch chảy xuống rất nhanh nói thật cháu cũng có thói_quen thủ_dâm rất nhiều nên cháu nghĩ khả_năng tinh_trùng loãng rất cao vậy cho cháu hỏi đó có phải dấu_hiệu của tinh_trùng loãng không ạ 
nốt_đen bộ_phận sinh_dục	bác_sĩ cho e hỏi trường_hợp chồng em anh bị các nốt_đen thân dương_vật cho e hỏi các nốt đó là có bị sao ko và có lần a cạy ra thì nó bị chảy máu em đang rất lo_cho tình_trạng sức_khỏe chồng em xin bác_sĩ giải_đáp sớm giúp em 
thủ_dâm	chào bác_sĩ cho con hỏi gần_đây dương_vật chỉ cần vuốt_ve một chúc thì đã muốn xuất_tinh có phải con hay thủ_dâm nhiều không hay là do dương_vật quá nhạy_cảm chỉ cần nghe những từ hoặc thấy hình_ảnh hơi khiêu_gợi thì dương_vật cương lên có phải do quá nhạy_cảm không và còn con hay có thói_quen thủ_dâm xin bác_sĩ hãy chỉ cách bỏ ạ con xin cảm_ơn 
xét_nghiệm các bệnh tình_dục	cho em hỏi xét_nghiệm máu có thể xác_định được các bệnh tình_dục không ạ và xét_nghiệm máu có thể xác_định được những bệnh gì liên_quan đến đường tình_dục muốn xét_nghiệm được các bệnh tình_dục thì phải làm những xét_nghiệm gì chi_phí thế nào ạ 
e muốn hỏi phòng_khám có khám nam khoa k ag	e muốn kiểm_tra khám một số nội_dung về nam khoa như dịch tuyến tiền_liệt của nam khoa có đc k ag nhờ bác_sĩ tư_vấn 
xét_nghiệm hpv	giá xét_nghiệm hpv tại nhà là bao nhiêu ạ 
sinh_sản	chào bs hiện_tại tui cũng mắc triệu_chứng giống bạn như trên tui tự lấy tinh_dịch để quan_sát thì thấy chỉ khoảng vài trăm con trên kính hiển_vi và ph cũng cao từ trở lên như vậy tui bị sao vậy bác_sĩ 
hỏi đáp nam học	hiện_tại con có số câu_hỏi rất mong sẽ nhận được sự giải_đáp kịp_thời của bác_sĩ ạ khi quan_hệ tình_dục qhtd thì tùy vào từng đối_tượng mà con có thời_gian xuất_tinh khác nhau với những người không có nhiều cảm_hứng thì có thể p còn những người có cảm_hứng thì có thể p hoặc có khi là p vì quá hưng_phấn cho con hỏi tình_trạng này có phải thuộc dạng xuất_tinh sớm không ạ và con phải làm gì để điều_tiết được tình_trạng này cho ổn_định hơn ạ cho con hỏi số_lượng qhtd trong tuần bao nhiêu là hợp_lý với độ_tuổi như con hiện_tại ạ tuần lần thì có ảnh_hưởng gì không bác_sĩ con vừa qhtd xong thì xuất_hiện cục hạch nổi lên ở bên phải dương_vật gần dưới quy_đầu khi sờ vào thì hơi rát con cảm_giác việc dẫn tới điều này là do lúc qh thì hơi khô rát nên mới xuất_hiện hạch con thực_sự hơi lo_lắng về vấn_đề này vì đây là lần đầu_tiên con gặp phải không biết đây là dấu_hiệu của bệnh gì và cách phòng tránh giải_quyết là như thế nào mong bác_sĩ giúp_đỡ con ạ con xin chân_thành cảm_ơn và chúc bác_sĩ thật nhiều sức_khỏe trân_trọng 
bệnh sùi mào_gà	chi_phí xét_nghiệm sùi mào_gà bác_sĩ cho e hỏi chi_phí xét_nghiệm xem có bị hay không ạ gần_đây em có thấy xuất_hiện các nốt nhỏ trên đầu dương_vật em ko biết đó là nốt gì nên nhờ bác_sĩ tư_vấn 
khẩn_cấp	dạo gần_đây tôi phát_hiện tinh_trùng của mình bất bình_thường tôi đang rất lo_lắng về tinh trạng của mình tôi muốn xét_nghiệm tinh_dịch đồ mong bệnh_viện tư_vấn cho tôi tôi xin cảm_ơn 
tư_vấn kết_quả mã xn	tôi muốn tư_vấn kq xn bằng văn_bản gửi về email và kê thuốc bổ_sung nếu cần cảm_ơn bác_sĩ 
mong bác_sĩ giải_đáp cho em thông_số tinh_trùng với ạ em cảm_ơn ạ	ck em có đi xét_nghiệm tinh_dịch đồ với thông_số như sau thể_tích ml ph mật_độ tinh_trung tổng_số tinh_trung triệu tỉ_lệ sống di_động tt nhanh chậm kdd khô di_động tốc_độ di_động tb hình_thái tinh_trung bt không bt đầu m cổ đuôi tế_bào khác hóa_lỏng bt màu_sắc trắng sữa thì vk ck e có con tuần thì lưu đến nay đk hơn tháng thì cho em hỏi với thông_số trên thì bác_sĩ có thể tư_vấn thì mức_độ đó là bt hay là có vẫn đề nhiều phải không ạ và thai tự_nhiên có đảm_bảo được an_toàn không bs em cảm_ơn nhiều mong bác_sĩ phản_hồi giúp em ạ 
hỏi về thực_phẩm chức_năng	em thấy quảng_cáo về loại thuốc bôi zman herbal có tác_dụng tăng kích_thước dương_vật và trị xuất_tinh sớm có triết xuất thảo_dược có ghi chứng_nhận bộ y_tế thì không biết thuốc này có uy_tín và an_toàn hiệu_quả không ạ 
sợ giãn tĩnh_mạch tinh tái_phát	cháu chào bác_sĩ bác_sĩ ơi cháu mới phẫu_thuật giãn tĩnh_mạch tinh được tuần nhưng hôm_nay cháu hay nghĩ đến sex và dương_vật cương thì có làm giãn tĩnh_mạch bị tái_phát không ạ 
vi_phẫu giãn tĩnh_mạch tinh	bác_sĩ ơi cho em hỏi là kiêng bao nhiêu ngày_sau phẫu_thuật gtm tinh thì có thể xuất_tinh ạ với cả các sợi tĩnh_mạch đó sau bao nhiêu lâu sẽ hết giãn ạ 
hiếm_muộn	thưa bác sỉ em vừa đi khám về bác sỉ cho kết_quả tinh_dich đồ thể tich ml mật_độ tông số tinh_trùng di đông tỉ_lệ sống hình_dạng bình_thường cho em hỏi kết_quả vậy có yếu quá không bác sỉ hình_dạng bình_thường có sao k em cam_on ak 
nam khoa	chao bac_si e hoi la ket_qua tinh_dich do cua e_co nhug diem luu_y tien toi khong tien toi khong di_dong ti_le song tinhtrung binh thuig bac_si tu_van cho e xem neu k thu_thai tu_nhien dc thi m lm cach nao ak 
sau vi_phẫu giãn tĩnh_mạch tinh	em chào bác_sĩ vừa rồi em có thực_hiện vi_phẫu giãn tĩnh_mạch tinh_hoàn ở bệnh_viện đại_học y hà_nội sau khi vi_phẫu em có sờ vào tinh_hoàn thì vẫn thấy đống bùng_nhùng ở đó như khi chưa vi_phẫu như vậy bác_sĩ cho em hỏi có cần phải vi_phẫu lại không ạ mong phản_hồi của bác_sĩ em cảm_ơn 
biến_chứng sau mổ dãn tĩnh_mạch thừng_tinh	hiện em mới mổ dãn tĩnh_mạch được ngày em thấy tinh_hoàn một bên cao và một bên_bị chảy xệ bác_sĩ cho em hỏi nguyên_nhân này là do đâu và về lâu_dài hai bên có tự cân_bằng lại được không em cám_ơn 
dịch_vụ xét nghiệp tinh_dịch đồ	em muốn hỏi về dịch_vụ xét_nghiệm tinh_dịch đồ của bv chi_phí của dịch_vụ này là bao nhiêu và em ở thanh_trì thì đến cơ_sở nào gần nhất ạ do công_việc bận em muốn đến khám vào buổi tối có được không ạ 
bác sỹ đọc kết_quả xét_nghiệm tinh_dịch đồ giúp em ạ	em chào bác sỹ ạ hôm_nay ngày em có đi xét_nghiệm tinh_dịch đồ với kết_quả như sau thể_tích ml who ml ly giải phút ph mật_độ who x ml tổng_số tinh_trùng who x ml di_động tiến tới không tiến tới không di_động tỷ_lệ sống who hình_dạng bình_thường who tế_bào lạ x ml với kết_quả như vậy thì em có thế thụ_tinh tự_nhiên không ạ em cảm_ơn bác sỹ 
tư_vấn kết_quả xét_nghiệm tinh_dịch đồ	e chào bác_sĩ bác_sĩ tư_vấn giúp e liệu kết_quả xét_nghiệm tinh_dịch đồ như thế này có thể thụ_thai tự_nhiên đc k e xin cảm_ơn thể_tích ly giải mật_độ tổng_số tinh_trùng di_động tiến tới di_động không tiến tới tỷ_lệ sống hình_dạng bình_thường bạch_cầu 
mong_muốn giải_đáp thắc_mắc	cách đây tháng e có bị lậu và đã chữa khỏi đi xét_nghiệm đã hết bệnh nhưng sau đó biến_chứng làm e đau tức phần bụng dươi và tinh_hoàn e đi khám thì bị kết_luận thành bàng_quang dày nhẹ mm có dịch mào_tinh hoàn bên vôi_hóa xốp dương_vật tinh_trùng hơi ít và yếu vậy cho e hỏi bệnh của e làm thế nào để chữa_trị ạ 
vôi_hoá niệu_đạo xốp dương_vật	e đi siêu_âm tinh_hoàn kết_luận e bị vôi_hoá niệu_đạo xốp dương_vật bác_sĩ có thể giải_đáp cho e bệnh này phương_pháp chữa như thế nào và có thể khỏi hẳn ko ạ mong hồi_âm của các bác_sĩ 
hỏi về khả_năng có con	em năm nay tuổi lấy vợ hơn nửa năm chưa có con hôm trước đi khám vợ bình_thường các chỉ_số tinh_dịch đồ của em màu_sắc trắng sữa thể_tích ml ly giải phút ph mật_độ x ml tổng_số tinh_trùng x tỷ_lệ tinh_trùng sống di_động tiến tới di_động không tiến tới bất động hình_thái bình_thường cho hỏi có cải_thiện được không và có thể có con không ak 
tái_phát giãn tĩnh_mạch tinh	e mổ giãn tĩnh_mạch tinh ở bình_dân trc mổ là giãn trái chả biết sao_sau mổ thang vẫn giãn dạo gần đay e hơn tháng r nhưng giờ nó đau lại bìu cũng xệ v này là do_tay nghề của bs r phải ko ạ truong_hop của e nên mổ lại ko ạ 
giãn tĩnh_mạch thừng_tinh	chào bs cháu t có đi khám siêu_âm mạch_máu thì biết tinh_hoàn trái kt x mm tinh_hoàn phải kt x mm thì bình_thường hay bị teo ạ với bị giãn tĩnh_mạch thừng_tinh trái d mm valsava thì có vấn_đề gì k ạ 
hỏi kết_quả xét_nghiệm dịch niệu_đạo	thưa bác_sĩ em có đi kết_quả xét_nghiệm như sau bacilli gram dương bacilli gram âm cocci gram dương cocci gram âm song cầu gram âm bạch_cầu tế_bào với kết_quả này em hiểu như thế nào ạ 
chữa bệnh	tôi bị yếu và rối_loạn sinh_lý nam 
tư_vấn tinh_dịch đồ	thưa bác_sĩ cháu em lập gia_đình đc năm vẫn chưa có con đi xét_nghiệm tinh_dịch đồ lần đều kết_quả không có tinh_trùng xét_nghiệm nst và azf cho thấy cháu em bị đứt đoạn nst c sau đó bác_sĩ chỉ_định phẫu_thuật giãn tĩnh_mạch tinh và sinh_thiết tinh_hoàn kết_quả xét_nghiệm mẫu tinh_hoàn cho thấy tinh_trùng chỉ dừng phát_triển lại ở mức tinh_tử tròn và giờ xuất_tinh cháu em thấy tinh_dịch có hiện_tượng trong như hạt gạo hiện_tượng này trước khi phẫu_thuật không thấy xảy ra và vết mổ cũng không xưng ko đau gì ạ cháu em mới phẫu_thuật được tháng vậy bác_sĩ cho cháu em hỏi với kết_quả tinh_trùng dừng phát_triển ở mức tinh_tử tròn thì cháu em có còn khả_năng có con được nữa không ạ và hiện_tượng tịch dịch trong nhìn như hạt gạo là bị sao ạ 
tinh_dịch đồ	bác_sĩ cho e hỏi kq tinh_dịch đồ của ck e như này thì có bt k ạ e mới xem kq trên web nên chưa qua hỏi trực_tiếp bác_sĩ được ạ tỉ_lệ sống khả_năng di_động di_động tiến tới k tiến tới bất động bất_thường đầu bất_thường cổ bất_thường đuôi 
cắt bao quy_đầu	chi_phí cắt bao quy_đầu khỏang bao nhiêu ah 
tìm_kiếm tinh_trùng	thưa bs cho e hỏi chồng e xn tinh_dịch đồ không có tinh_trùng làm các xét_nghiệm nội tiết_tố và adn đều bình_thường không teo tinh_hoàn vậy cơ_hội có tinh_trùng cao ko bs 
hỏi đáp	chào bác_sĩ tinh_trùng của em có hiện_tượng xuất_hiện một số như hạt gạo trong_vắt và thành cục em đi xét_nghiệm tinh_dịch đồ kết_quả bác_sĩ cho thấy tinh_dịch đồ em bình_thường vậy là sao ạ 
tư_vấn tinh_dịch đồ	chồng cháu mới kiểm_tra tinh_dịch đồ sau ngày kiêng quan_hệ và có kết_quả như sau màu_trắng sữa thể_tích ml hóa_lỏng f độ quánh mật_độ tr ml tỉ_lệ sống tiến tới nhanh chậm không tiến tới không di_động tinh_trùng bình_thường tt không bình_thường đầu cổ đuôi phối_hợp tế_bào khác rất mong bác_sĩ giúp cháu kết_luận và đánh_giá kết_quả này cháu xin cảm_ơn 
sinh_sản	chồng em xét_nghiệm nst có kết_quả xy ps kết_luận người nam có tăng kích_thước vệ_tinh nhiễm_sắc_thể số là như thế nà bác_sĩ có ảnh_hưởng đến việc sinh_sản không 
sức_khỏe sinh_sản	e uống đủ nc và ăn nhiều hoa quả vì do e là dân đi tập nhưng do tuần nay e bị tinh_trùng vón cục e muốn hỏi bác_sĩ e xn thế thì xn nước tiểu hay xn máu với lại e có thể gặp thẳng bác_sĩ để khám luôn ko chứ vào đăng ki khám hơi ngại 
sức_khỏe sinh_sản nam	bác_sĩ ơi cho e hỏi tại_sao khoảng tuần trở_lại đây e bị tinh_trùng vón cục lại lúc thì bé li_ti lúc thì to như hạt gạo bác_sĩ cho e biết như thế là bị làm sao ah 
đọc ket_qua tinh_dich đồ	bsi đọc kq tinh_dịch đồ giúp em mã bênh nhân a má sid vợ em bị lưu thai lần ko phôi ko tim thai tuần có cách điều_trị ko a 
đoc ket_qua kham tinh_dich do	bsi đọc kết_quả xn tinh_dịch đồ giúp em_em thấy có bất_thường như tình trang của em có điều_trị đc ko vợ của em đã có bầu là lưu lần ko phôi_thai ko tim thai ở tuần thứ bsi đọc kq cho em hướng điều_trị với ạ 
kháng_thể kháng tinh_trùng	giá dịch_vụ xét_nghiệm kháng_thể kháng tinh_trùng 
đọc kết_quả xét_nghiệm tinh_dịch đồ	nhờ bác_sĩ đọc và tư_vấn giúp kết_quả tinh_dịch đồ của chồng em mã bn mã tra_cứu 
beta sau cp	chi số beta của e ngày cp n vậy là k có thai đúng không ak 
sinh_lý	thưa bác_sĩ cháu năm này tuổi đó thủ_dâm từ nhỏ lên giờ cậu_nhỏ có vấn_đề vậy có phải là bị rối_loạn cương dương không a 
em chào bác sỹ	ck e làm xet nghiệm tinh_dịch đòi kết_quả không thấy có tinh_trung sau đó có làm xet nghiệm trên nst và kết_quả là mất vi đoạn trên vùng mở_rộng sy sy bác sỹ cho e hỏi với tình_trạng trên vk ck có thể có con đc không ạ và phương_pháp điều_trị là gì ạ em cảm_ơn 
nhờ đọc kết_quả xét_nghiệm	nhờ bác_sĩ đọc giúp tôi kết_quả theo mã cảm_ơn bác_sĩ 
xem kết_quả soi dịch niệu_đạo	chào bác_sĩ nhờ bác_sĩ xem hộ em kết_quả dịch liệu đạo dưới đây xem có phải em bị viêm niệu_đạo không nếu có thì cần dùng thuốc gì để chữa_trị kết_quả xn chlamydia âm_tính soi tươi trichomonas âm_tính nấm men bach cầu tạp_khuẩn nhuộm soi song cầu hình hạt cà_phê âm_tính trực_khuẩn gram âm và dương cầu_khuẩn gram dương bạch_cầu tế_bào nấm men 
xét_nghiệm hpv	hiện_tại em có làm xét_nghiệm nuôi cấy hpv type bằng phương_pháp pcr và xét_nghiệm sinh_học phân_tử thì có kết_quả trái_ngược nhau âm_tính với phương_pháp pcr nhưng xét_nghiệm sinh_học phân_tử lại trả kết_quả dương_tính em ko có biểu_hiện cụ_thể của bệnh hiện_tại em đang rất lo_lắng em phải làm gì bây_giờ 
hỏi đáp	bsi cho hỏi bạn_tình của em bị viêm âm_đạo do cầu_khuẩn gram dương và trực_khuẩn gram âm thì em có khả_năng lây nhiễm mấy bệnh liên_quan đến đường tình_dục hoặc vi_khuẩn từ bệnh viêm âm_đạo đó từ bạn_tình không hiện_tại em không thấy biểu_hiện gì bất_thường vi_khuẩn này có tồn_tại trên ng em ko em có cần_thiết phải điều_trị cùng với bạn ấy hay ko 
sktd	hiện tôi chưa có gia_đình tôi đi khám và được chuẩn đoán là bị rối_loạn hỗn_hợp lo_âu và trầm_cảm bác_sĩ cho tôi hỏi có phải bệnh này ảnh_hưởng đến ham_muốn không vì tôi ko cảm_thấy trong nguoi ko có ham_muốn gì cả trước_kia tôi vẫn bình_thường 
độ ph trong tinh_dịch em đi khám được có ph	thưa bác_sĩ làm thế nào để cải_thiện độ ph trong tinh_dịch em đọc thì để tinh_binh sống lâu trong âm_đạo tốt nhất ph trong khi đó em đi kiểm_tra ph của em bằng cảm_ơn bác_sĩ 
hỏi bs	em muốn hỏi bs em đi xét_nghiệm tinh_dịch đồ em thấy chỉ_số tế bài khác là vậy em có vấn_đề gì ko bs cảm_ơn bs 
đau cà	bac sy cho em hoi em bi dau_qua cà ben trai em kiem_tra bằng tay thấy dau cà ben trai con ben phai ko dau em dang bị sao va co phai đến khám ko ah 
hiếm_muộn	em đi làm xét_nghiệm tinh_dịch đồ các chỉ_số đều vượt so với chỉ_số bình_thường chỉ có hình_dạng bình_thường của tinh_trùng là chưa đạt so với chỉ_số là vậy với chỉ_số hình_dạng bình_thường tinh_trùng như vậy có ảnh_hưởng đến thụ_thai tự_nhiên và xảy thai sớm không ạ 
kết_quả xát nghiệm tinh_dịch đồ	chào bác_sĩ bác_sĩ cho tôi hỏi tôi đi làm xét_nghiệm tinh_dịch đồ với kết_quả như sau trị_số bình_thường theo w h o thể_tích ml ly giải phút ph mật_độ x ml di_động a tiến tới nhanh b tiến tới chậm c không tiến tới d không di_động tỷ_lệ sống hình_dạng bình_thường bạch_cầu x ml nhận_xét khác tinh_dịch đặc_sệt tôi có quan_hệ trước ngày xét_nghiệm ngày bình_thường lúc quan_hệ tôi xuất_tinh tương_đối nhiều nhưng lúc lấy tinh_dịch quay tay thì nó chỉ ra giọt xin bác_sĩ giải_thích giúp tôi kết_quả xét_nghiệm trên ạ và với thông_số như trên thì tôi có thể quan_hệ có thai tự_nhiên được không ạ xin cảm_ơn bác_sĩ 
chlamydia	hôm em có đi gặp cô gmd cũ em đi thường chỉ cho làm bằng tay chứ ko có quan_hệ tình_dục dù là bằng miệng rồi em thấy cô_gái dùng tay rửa âm_đạo sau đó vô mát_xa cho em sau khi mát_xa xong e yêu_cầu cô ấy đi rửa tay lấy dầu johnsonbaby hj cho em nhưng rửa tay xong trước khi làm bằng tay cho em cô ây có lấy tay lau sơ vào khăn khăn mà cô ây lau âm_đạo nhưng không biết có đụng vô chỗ cô ấy lau âm_đạo không nữa em xin hỏi bs giúp em là nếu tay cô ấy có dính vi_khuẩn từ âm_đạo khi rửa và tay chạm vào khăn truớc khi hj cho em thì khi hj cho em bằng dầu em có cần đi xét_nghiệm lậu hay chlamydia không hôm sau ngày em có đi xét_nghiệm lậu chlamydia ở bv da_liễu test nhanh đều âm_tính và trong ngày đó luôn em cũng có làm pcr ở bv hòa_hảo pcr cũng âm_tính em nghe nói có lây qua dùng chung khăn nên em lo_lắng mong bác tư_vấn dùm em em lo_lắng quá sợ có gì lây cho bạn gái còn quan_hệ bằng miệng hay bcs gì em cũng tuyệt_đối chưa bao giờ em không biết kết_quả trên có ổn không 
chỉ_số nội tiết_tố nam	xin chào các bác_sĩ ạ xin các bác_sĩ tư_vấn giúp cháu với ạ cháu mới đi kiểm_tra nội tiết_tố nam kết_quả của cháu như sau lh mlu ml fsh miu ml testosterone miu ml do nhà xa chỗ khám nên cháu được y_tá trả kết_quả qua facebook nên không nhận được tư_vấn của bác_sĩ y_tá chỉ nói chỉ_số fsh của cháu cao hơn bình_thường vậy cháu xin hỏi chỉ_số cao như vậy có ảnh_hưởng gì đến khả_năng sinh_sản không ạ và có hướng điều_trị để giảm chỉ_số fsh về mức bình_thường không ạ cháu xin cảm_ơn ạ 
xin bác sỹ tư_vấn	thưa bác sỹ em đã cưới vợ được năm và chưa có con sau khi đi khám thì có kết_quả vợ em bình_thường còn em bị vô_sinh nam k thấy tinh_trùng trong tinh_dịch và em đã làm xét_nghiệm nst kết_quả là xy kết_luận chưa phát_hiện thấy bất_thường di_truyền ở mức_độ nhiễm_sắc_thể xét_nghiệm azf là không thấy mất đoạn gen azf a b c ở những gen được khảo_sát tương_ứng vậy em có bình_thường không ạ 
sinh_dục	bác_sĩ cho e hỏi như này dương_vật của e ở mức nào ạ 
tư_vấn	bác sỹ cho e hỏi e làm xét_nghiệm tdđ và kết_quả như hình_ảnh bs cho e hỏi e có bình_thường k và có khả_năng có thai tự_nhiên k e cám_ơn bs 
nổi mụn_nước ở da mu dương_vật	chào các bác_sĩ cách đây tháng em có nổi mụn_nước nhỏ ở phần da mu gần dương_vật sau đó nó cứ lan ra một số mụn_nước vỡ xong khỏi một số có mủ màu_trắng vỡ xong khỏi phần khác dưới phần da mu gần cuống dương_vật của em mấy năm nay có cục nhỏ chìm dưới da như mụn tự dưng đợt này sưng to bằng ngón_tay động vào đau lúc vỡ ra mủ màu_trắng xong giờ lại vẫn còn cục mụn dưới da như thế liệu em có mắc bệnh gì nghiêm_trọng 
xét_nghiệm tinh_dịch đồ	volume ml time to liquefaction min rt gross viscosity ph progressive motility l total motility l wbc h ul sperm concentration ml 
xin hỏi thuốc cường_dương nào tốt	xin chào các bác_sĩ xin các bác tư_vấn giúp em loại thuốc nào giúp cậu_nhỏ quan_hệ được lâu vì em qhe với vợ chỉ đc là xuất dẫn đến nhiều chuyện khó nói ạ xin cảm_ơn các bác_sĩ 
em muốn hỏi về kết_quả xét nghiêm của em	chào bác sỹ hôm em có qua phòng_khám khám bệnh nam khoa và bác sỹ cho em làm xét_nghiệm trong đó có xét_nghiệm nhóm visinh herpesi ii igg kết_quả xét_nghiệm của em là định_lượng au ml âm_tính là dương_tính là vậy bác sỹ cho em hỏi là như vậy em có bị nhiễm_khuẩn nặng không và liệu có chữa_trị được không và cách điều_trị như nào em cảm_ơn 
xin chào bác_sĩ	chỉ_số xét_nghiệm của e như thế này có bình_thường và có khả_năng sinh con đc k ạ 
tinh_dịch đồ yếu	tinh_trùng e rất yếu hình_dạng bình_thường có như hình_ảnh thì tỉ_lệ có con là bao nhiêu ạ 
nam học	chào bác_sĩ bác_sĩ cho tôi hỏi tôi sờ thấy ở đầu tinh_hoàn trái có cục cứng bằng hạt gạo khi bóp vào thì cảm_giác lật đi lật lại như gân sụn không đau bác_sĩ cho tôi hỏi đấy là gì 
hoi venam khoa	bac s cho em hoi chut em bi dau tuc ben tinh_hoan may hom_nay roi thi_lieu co nghiem_trong ko ah 
nhiễm_sắc_thể	thưa bác sỹ vợ chồng em lấy nhau được nam chưa có con vợ em đã có cháu tuổi em đi khám được chẩn_đoán là vô_sinh nam do bất_thường chất_lượng tinh_trùng có kèm theo đó làm thêm xét_nghiệm nst cho_ra kết_quả người nam có tăng vùng dị_nhiễm sắc nhánh dài nhiễm_sắc_thể số vậy điều này ảnh_hưởng tới quá_trình làm bố không em xin cảm_ơn 
cháu bị nấm dương_vật	cháu năm nay tuổi và cháu chưa cắt bao quy_đầu cho đến hôm trước cháu thấy ở đầu dương_vật có một số chất gì đó màu_trắng khi cháu thử lột bao quy_đầu ở trạng_thái chưa cương_cứng thì thấy một phần đầu dương_vật đác bị chất đó bám vào theo tìm_hiểu qua mạng thì cháu nghĩ đó là một loại nấm mong bác_sĩ tư_vấn giúp cháu với ạ 
xet_nghiem	chào bác_sĩ nho bác_sĩ xem giúp e đo ph khi e làm tinh_dịch đo là tỉ le song di đong pr là di đong np là ko di đong là mong bác_sĩ giúp e giùm 
tư_vấn kết_quả	chào bsi hôm trc em có qua khám ở nghĩa_dũng có kết_quả như hình_ảnh bsi tư vẫn giúp em_em xin cảm_ơn 
chỉ_số tinh_dịch đồ	thưa bác_sĩ cho em hỏi ạ em đi khám thì thông_số như sau ph mật_độ tt triệu ml hình_dạng bt tỉ_lệ sống tt tiến tới nhanh tiến tới chậm thời_gian ly giải phút thể_tích tinh_dịch ml tinh_dịch màu_trắng sữa xin hỏi bác_sĩ nếu vợ trứng tốt điều_kiện thụ_tinh tốt thì với chỉ_số trên khả_năng có con_bao nhiêu xin hỏi bác_sĩ ạ làm thế nào để tăng ph lên làm thế nào các chỉ_số chưa đạt tăng lên xin chân_thành cảm_ơn ạ 
viêm tiền_liệt tuyến	kính_thưa bác_sĩ tôi năm nay tuổi tôi bị phì_đại tlt lành tính_từ lâu và đã điều_trị nội_khoa tại bv bình_dân tương_đối cũng ổn sau đó tôi ngưng dùng thuốc thời_gian tháng và cách đây tháng tôi bị viêm tlt tôi điều_trị tại bv bằng thuốc xaltral mg và permixon mg cộng với kháng_sinh sau đó tình_trạng viêm đã dứt và tôi tiếp_tục sử_dụng thứ xaltral v ng permixon ngày v sáng tối đến nay đã được tháng tình_trạng đi tiểu tương_đối ổn_định xin cho tôi hỏi tôi có nên tiếp_tục sử_dụng thuốc nữa hay không và có cần phải đổi thuốc khi có triệu_chứng bị lờn hay không xin cảm_ơn bác_sĩ 
thời_gian quan_hệ	dạ thưa bác_sĩ bác_sĩ tư_vấn cho e các tư_thế lâu xuất_tinh nhất ạ với có cách nào cho lâu xuất k ạ vợ chồng e mới cưới bác dĩ tư_vấn cho e những kiểu yêu lần đầu vs nhưng lần sau đó với ạ để e thoải mãi vợ e ạ 
nam khoa	bs giải_thích hộ e kết_quả này với sỏi tươi chlamydia âm_tính nấm âm_tính trichomonas âm_tính bạch_cầu tế_bào tạp_khuẩn nhuộm sỏi trực_khuẩn gram âm gram dương nâm âm_tính cầu_khuẩn gram dương bạch_cầu tế_bào song cầu hình hạt cà_phê âm_tính liệu có phải e mắc lậu k hả bác_sĩ 
các xét_nghiệm kiểm_tra có bị viêm_nhiễm	chào bác sỹ em là nam năm nay tuổi em muốn làm các xét_nghiệm để kiểm_tra xem có bị nhiễm_khuẩn liệu đạo không vì xét_nghiệm tinh_dịch đồ có tế_bào khác tr thể_tích ml em đi tiểu khá nhiều bác sỹ tư_vấn giúp em để em cần làm kiểm_tra gì và xét_nghiệm gì a làm các xét_nghiệm đó tại cơ_sở trích sài hay thái_thịnh có được ko ạ em cám_ơn 
cách phá trinh	chào bác_sĩ e với bạn gái e sắp cưới e muốn hỏi bác_sĩ về cách phá trinh làm sao không đau và có lần quan_hệ đầu_tiên được ấn_tượng ạ 
kết_quả xn tinh_dịch đồ	bác sỹ xem hộ cháu kết_quả xét_nghiệm này có bình_thường ko ạ 
xét_nghiệm kiểm_tra đứt_gãy adn ở tinh_trùng	chào bác_sĩ em có tiền_sử thai lưu lần lúc w mất tim thai vk ck em đã làm các xét_nghiệm kiểm_tra cả vk ck trong đó có xét_nghiệm nst đồ tại bệnh_viện mình của ck em ghi kết_quả đảo đoạn quanh tâm nst số ở ck vk ck em dk tư_vấn nên lm thêm xét_nghiệm đứt_gãy adn của tinh_trùng vậy bác_sĩ cho em hỏi ck em nên ra tận bệnh_viện lấy mẫu hay có thể lấy dk ở tại tỉnh liệu lấy tại tỉnh có ảnh_hưởng đến kết_quả không ạ em mong dk bác_sĩ tư_vấn giúp vk ck em em cảm_ơn ạ 
cơ_quan	chào bác_sĩ chuyện em là thế này em và vk em có quan_hệ tình_dục vk em dùng miệng để kích_thích dương_vật em và làm e xuất_tinh nhưng khi đó vk em vẫn kích_thích và em xuất ra tiếp một dịch và vk em bảo dịch đó rất đắng ạ vậy bs cho e hỏi đó là dịch gì à có vấn_đề gì ko ạ 
xét_nghiệm tinh_trùng	thưa bác_sĩ cháu muốn xét_nghiệm tinh_trùng xem có khoẻ ko vậy chi_phí hết bao nhiêu ạ 
hỏi về kết_quả xét_nghiệm dị_ứng	chào bác_sĩ cho tôi hỏi kết_quả xét_nghiệm dị_ứng dị_nguyên ige tổng_thể đặc_hiệu nghĩa là như thế nào cụ_thể là dị_ứng những gì phải lưu_ý những điều gì cám_ơn bác_sĩ 
